session,eta_nom,acad_lib,acad_reg_lib,mention,parcours,alternance,modalite_enseignement,lieux_formation,disci_master,disci_lib,secteur_disci_lib,n_accept,n_accept_femme,uo_lib_actuel,diploma_needed
2023,Institut polytechnique de Paris,Versailles,Île-de-France,informatique,M1 - Foundations of Computer Science,False,"INITIALE,HYBRIDE","IP Paris - PALAISEAU,Université Paris Saclay - SACLAY",Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Informatique,3,0,Institut polytechnique de Paris,Technologies de l'Information
2023,Université Paris Nanterre,Versailles,Île-de-France,droit du numerique,Unknown,False,"INITIALE,CONTINUE,HYBRIDE",Université Paris Nanterre - NANTERRE (92),Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,27,19,Université Paris Nanterre,Autre
2023,Université Polytechnique Hauts-de-France,Lille,Hauts-de-France,"geographie, amenagement, environnement et developpement","GEOGRAPHIE, ENVIRONNEMENT, TERRITOIRES",False,"INITIALE,HYBRIDE",UPHF - Institut Sociétés et Humanités  (ISH) - VILLENEUVE D'ASCQ (59),S.H.S.,Sciences humaines et sociales,Géographie,0,0,Université Polytechnique Hauts-de-France,Autre
2023,CY Cergy Paris Université,Versailles,Île-de-France,"transport, mobilites, reseaux",Management logistique,True,"APPRENTISSAGE,CONTRAT_PRO",Site des Chênes - CERGY-PONTOISE CEDEX (95),S.H.S.,Sciences humaines et sociales,Aménagement,8,1,CY Cergy Paris Université,Autre
2023,Université Paris Nanterre,Versailles,Île-de-France,systemes juridiques et droits de l'homme,Théorie et analyse du droit et Histoire et anthropologie du droit,False,"INITIALE,CONTINUE,HYBRIDE",Université Paris Nanterre  - NANTERRE  (92),Droit et sc. politiques,"Droit, sciences politiques","Pluridisciplinaire droit, sciences politiques",25,14,Université Paris Nanterre,Autre
2023,Université de Lille,Lille,Hauts-de-France,commerce et distribution,Management de la distribution - En apprentissage,True,APPRENTISSAGE,Université de Lille - ROUBAIX (59),"Economie, gestion et A.E.S.","Sciences économiques, gestion",Sciences de gestion,31,12,Université de Lille,Autre
2023,Université Paris Nanterre,Versailles,Île-de-France,psychologie: neuropsychologie,"Neuropsychologie clinique et cognitive à tous les âges de la vie, Neurosciences",False,"INITIALE,CONTINUE,HYBRIDE",Université Paris Nanterre  - NANTERRE  (92),S.H.S.,Sciences humaines et sociales,"Psychologie, sciences cognitives",20,18,Université Paris Nanterre,Autre
2023,Université Paris Nanterre,Versailles,Île-de-France,"justice, proces et procedures",Métiers de la justice,False,"INITIALE,CONTINUE,HYBRIDE",Université Paris Nanterre  - NANTERRE  (92),Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,21,19,Université Paris Nanterre,Autre
2023,Université de Lille,Lille,Hauts-de-France,reseaux et telecommunication,Télécommunications - en apprentissage,True,APPRENTISSAGE,Université de Lille - VILLENEUVE D'ASCQ (59),Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,Informatique,1,0,Université de Lille,Autre
2023,CY Cergy Paris Université,Versailles,Île-de-France,"territoires : cultures, patrimoines, paysages",Développement culturel et valorisation des patrimoines,True,"APPRENTISSAGE,CONTRAT_PRO",Site des Chênes - CERGY-PONTOISE CEDEX (95),S.H.S.,Sciences humaines et sociales,Aménagement,5,4,CY Cergy Paris Université,Autre
2023,Université de Lille,Lille,Hauts-de-France,droit de l'entreprise,Droit de la distribution - En apprentissage,True,APPRENTISSAGE,Université de Lille - LILLE CEDEX (59),Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,7,6,Université de Lille,Autre
2023,Université de Lille,Lille,Hauts-de-France,droit international et droit europeen,Droit de la mer et risque maritime,False,"INITIALE,CONTINUE,HYBRIDE",Université de Lille - LILLE CEDEX (59),Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,17,13,Université de Lille,Autre
